4,2576604,3576604,+
4,2576604,3576604,-
X,66265159,67265159,+
X,66265159,67265159,-
6,15827865,16827865,+
6,15827865,16827865,-
12,111536754,112536754,+
12,111536754,112536754,-
14,92037355,93037355,+
14,92037355,93037355,-
19,12818673,13818673,+
19,12818673,13818673,-
3,63398361,64398361,+
3,63398361,64398361,-
6,170370995,171370995,+
6,170370995,171370995,-
12,6545880,7545880,+
12,6545880,7545880,-
16,87137889,88137889,+
16,87137889,88137889,-
X,146493555,147493555,+
X,146493555,147493555,-
X,147082159,148082159,+
X,147082159,148082159,-
19,45773463,46773463,+
19,45773463,46773463,-
9,71152201,72152201,+
9,71152201,72152201,-
3,128391420,129391420,+
3,128391420,129391420,-
9,27073483,28073483,+
9,27073483,28073483,-
20,2133379,3133379,+
20,2133379,3133379,-
22,45691235,46691235,+
22,45691235,46691235,-
21,44696324,45696324,+
21,44696324,45696324,-
5,145758291,15125829,+
5,145758291,15125829,-
13,70213516,71213516,+
13,70213516,71213516,-
16,67024302,66024302,+
16,67024302,66024302,-
1,57332716,58332716,+
1,57332716,58332716,-
8,118879055,119879055,+
8,118879055,119879055,-
18,52753385,53753385,+
18,52753385,53753385,-
14,23290682,24290682,+
14,23290682,24290682,-
X,24531771,25531771,+
X,24531771,25531771,-











